Country/Region,Lat,Long,Confirmed,Deaths,IFR
Malawi,-1060.3446400000012,2744.121999999999,52,4,7.6923076923076925
Malaysia,200.0,9000.0,65154,857,1.3153451821837492
Maldives,256.22399999999976,5857.655999999994,479,0,0.0
Mali,1405.6553600000004,-319.69327999999996,621,53,8.53462157809984
Malta,2875.0,1150.032,4253,5,0.1175640724194686
Mauritania,1680.632000000001,875.2639999999994,108,12,11.11111111111111
Mauritius,-1616.0000000000023,4600.0,3197,97,3.0340944635595872
Mexico,1890.759999999996,-8204.224000000013,28596,1091,3.815218911735907
Moldova,3792.927999999995,2269.5919999999987,11385,193,1.6952129995608256
Monaco,3498.663999999998,593.3359999999996,1163,13,1.117798796216681
Mongolia,3749.0000000000055,8307.736000000003,298,0,0.0
Montenegro,3400.0,1543.9999999999977,2787,30,1.0764262648008611
Morocco,2543.336000000003,-567.4079999999999,14252,919,6.448217793993825
Mozambique,-1493.2555999999988,2842.3649600000012,180,0,0.0
Namibia,-1836.6079999999977,1479.2319999999986,249,0,0.0
Nepal,2253.336000000001,6740.0,172,0,0.0
Netherlands,8563.335999999987,-21202.224,285472,24430,8.557756977917274
New Zealand,-3272.047999999996,13990.880000000023,13999,14,0.10000714336738338
Nicaragua,1029.232000000001,-6816.575999999992,91,15,16.483516483516482
Niger,1408.624,646.5359999999998,2460,98,3.983739837398374
Nigeria,726.5599999999996,694.0239999999995,3220,59,1.8322981366459627
North Macedonia,3328.6880000000015,1739.624000000002,7839,249,3.176425564485266
Norway,4837.760000000004,677.5119999999997,108650,1007,0.926829268292683
Oman,1680.0,4560.0,5052,20,0.39588281868566905
Pakistan,2430.024,5547.608000000009,50035,618,1.2351354052163486
Panama,683.0400000000006,-6462.568000000007,26381,619,2.3463856563435805
Papua New Guinea,-505.1999999999999,11516.44,27,0,0.0
Paraguay,-1875.400000000004,-4675.504,1584,67,4.22979797979798
Peru,-735.2000000000013,-6001.215999999992,37071,1079,2.91063095141755
Philippines,1040.0,9760.0,45402,2278,5.0174001145324
Poland,4153.552000000009,1531.607999999998,58832,1307,2.221580092466685
Portugal,3151.9919999999943,-657.96,162633,3875,2.382665264737169
